 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-6.013553e-15,1,1.321791e-11,1,7.759203e-12,1
-5.790169e-15,2,1.344684e-11,5,7.992798e-12,4
-5.566784e-15,6,1.367576e-11,11,8.226393e-12,11
-5.3434e-15,7,1.390469e-11,19,8.459989e-12,40
-5.120016e-15,14,1.413362e-11,55,8.693584e-12,72
-4.896632e-15,17,1.436254e-11,85,8.927179e-12,117
-4.673247e-15,47,1.459147e-11,150,9.160775e-12,157
-4.449863e-15,65,1.482039e-11,167,9.39437e-12,196
-4.226479e-15,101,1.504932e-11,136,9.627965e-12,164
-4.003095e-15,132,1.527824e-11,147,9.86156e-12,137
-3.77971e-15,162,1.550717e-11,95,1.009516e-11,65
-3.556326e-15,189,1.573609e-11,56,1.032875e-11,19
-3.332942e-15,159,1.596502e-11,34,1.056235e-11,8
-3.109558e-15,72,1.619395e-11,20,1.079594e-11,5
-2.886173e-15,16,1.642287e-11,13,1.102954e-11,3
-2.662789e-15,10,1.66518e-11,6,1.126313e-11,1

