$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
1, 1.120803e-11, 6.451286e-12,-1.876375e-15,   0.,3
2, 1.079219e-11, 6.268759e-12,-2.088117e-15,   0.,3
3, 1.106695e-11, 6.496546e-12,-1.878330e-15,   0.,3
4, 1.206177e-11, 6.691205e-12,-1.657943e-15,   0.,3
5, 1.130714e-11, 6.717064e-12,-1.748099e-15,   0.,3
6, 1.025173e-11, 6.877089e-12,-1.854144e-15,   0.,3
7, 1.155372e-11, 6.282367e-12,-2.033851e-15,   0.,3
8, 1.094664e-11, 6.548351e-12,-1.878308e-15,   0.,3
9, 1.136727e-11, 6.819667e-12,-1.709621e-15,   0.,3
10, 1.093853e-11, 6.362401e-12,-1.982574e-15,   0.,3
11, 1.149164e-11, 6.567579e-12,-1.784261e-15,   0.,3
12, 1.135944e-11, 6.434852e-12,-1.874327e-15,   0.,3
13, 1.164916e-11, 5.856907e-12,-1.825428e-15,   0.,3
14, 1.045585e-11, 6.279634e-12,-1.882587e-15,   0.,3
15, 1.153130e-11, 6.217386e-12,-2.001747e-15,   0.,3
16, 1.140127e-11, 6.709601e-12,-1.740790e-15,   0.,3
17, 1.022973e-11, 6.280310e-12,-2.006325e-15,   0.,3
18, 1.162011e-11, 6.118141e-12,-1.699532e-15,   0.,3
19, 1.042708e-11, 6.326931e-12,-1.880621e-15,   0.,3
20, 1.005813e-11, 5.807143e-12,-2.399942e-15,   0.,3
21, 1.143871e-11, 6.654134e-12,-1.755999e-15,   0.,3
22, 1.082987e-11, 6.401329e-12,-1.985507e-15,   0.,3
23, 1.094627e-11, 6.103095e-12,-2.196971e-15,   0.,3
24, 1.196501e-11, 7.088265e-12,-1.612203e-15,   0.,3
25, 1.106757e-11, 6.875122e-12,-1.748214e-15,   0.,3
26, 1.086564e-11, 6.544894e-12,-1.899522e-15,   0.,3
27, 1.041146e-11, 5.917230e-12,-2.069439e-15,   0.,3
28, 1.069673e-11, 6.561263e-12,-1.943778e-15,   0.,3
29, 1.154507e-11, 6.967972e-12,-1.694328e-15,   0.,3
30, 1.098767e-11, 6.614571e-12,-1.839531e-15,   0.,3
31, 1.175441e-11, 6.184629e-12,-1.654943e-15,   0.,3
32, 1.084499e-11, 6.495190e-12,-1.929695e-15,   0.,3
33, 1.070685e-11, 6.163654e-12,-2.205619e-15,   0.,3
34, 1.097544e-11, 6.249449e-12,-2.055512e-15,   0.,3
35, 1.040633e-11, 5.935299e-12,-2.061413e-15,   0.,3
36, 1.096434e-11, 6.801665e-12,-1.786745e-15,   0.,3
37, 1.106362e-11, 6.886939e-12,-1.745919e-15,   0.,3
38, 1.118156e-11, 6.315400e-12,-1.967020e-15,   0.,3
39, 1.169045e-11, 5.691209e-12,-1.944288e-15,   0.,3
40, 1.090514e-11, 6.437520e-12,-1.946348e-15,   0.,3
41, 1.171444e-11, 6.167439e-12,-1.666754e-15,   0.,3
42, 1.161174e-11, 6.192844e-12,-1.672882e-15,   0.,3
43, 1.085056e-11, 6.529077e-12,-1.911023e-15,   0.,3
44, 1.106809e-11, 6.531607e-12,-1.860525e-15,   0.,3
45, 1.130435e-11, 6.617496e-12,-1.786504e-15,   0.,3
46, 1.091863e-11, 6.826891e-12,-1.793650e-15,   0.,3
47, 1.086062e-11, 6.805416e-12,-1.809675e-15,   0.,3
48, 1.131210e-11, 6.374849e-12,-1.914382e-15,   0.,3
49, 1.168429e-11, 5.978146e-12,-1.751197e-15,   0.,3
50, 1.173419e-11, 5.880969e-12,-1.796758e-15,   0.,3
51, 1.084778e-11, 6.590942e-12,-1.882855e-15,   0.,3
52, 1.138015e-11, 5.967455e-12,-2.282954e-15,   0.,3
53, 1.070252e-11, 6.446659e-12,-1.994591e-15,   0.,3
