 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
iint,tphl,tplh,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-1.7179e-15,7.485048e-12,1.411755e-11,-3.290527,-4.895247,-2.599759
-1.641647e-15,7.598516e-12,1.448738e-11,-2.967738,-3.69972,-2.489258
-1.59692e-15,7.637766e-12,1.466776e-11,-2.807034,-3.342036,-2.409629
-1.589827e-15,7.651183e-12,1.468698e-11,-2.696844,-3.13969,-2.346205
-1.573789e-15,7.657585e-12,1.474417e-11,-2.612054,-2.999605,-2.292977
-1.569126e-15,7.665335e-12,1.479533e-11,-2.542699,-2.892598,-2.246832
-1.553781e-15,7.735022e-12,1.48033e-11,-2.483769,-2.805987,-2.20593
-1.545951e-15,7.745087e-12,1.480838e-11,-2.432379,-2.733174,-2.169082
-1.530888e-15,7.768571e-12,1.483252e-11,-2.386708,-2.670302,-2.135475
-1.528105e-15,7.772642e-12,1.484055e-11,-2.345531,-2.614929,-2.104524
-1.507316e-15,7.782181e-12,1.488247e-11,-2.307984,-2.56541,-2.075792
-1.505635e-15,7.784578e-12,1.492569e-11,-2.273435,-2.520588,-2.048948
-1.504379e-15,7.788378e-12,1.493237e-11,-2.241403,-2.479619,-2.023729
-1.503461e-15,7.79272e-12,1.493593e-11,-2.211518,-2.441866,-1.999926
-1.495908e-15,7.803566e-12,1.494146e-11,-2.183487,-2.406839,-1.977369
-1.492274e-15,7.803853e-12,1.498922e-11,-2.157073,-2.374152,-1.955918
-1.482909e-15,7.808348e-12,1.499213e-11,-2.132083,-2.343497,-1.935455
-1.47971e-15,7.81298e-12,1.502908e-11,-2.108358,-2.31462,-1.915882
-1.478137e-15,7.815448e-12,1.503773e-11,-2.085764,-2.287316,-1.897114
-1.477407e-15,7.850491e-12,1.504708e-11,-2.064187,-2.261411,-1.879078
