,load,Vin,number_fin
0,1f,0.6,1
1,1f,0.6,2
2,1f,0.6,3
3,1f,0.6,4
4,1f,0.6,5
5,1f,0.6,6
6,1f,0.6,8
7,1f,0.6,10
8,1f,0.7,1
9,1f,0.7,2
10,1f,0.7,3
11,1f,0.7,4
12,1f,0.7,5
13,1f,0.7,6
14,1f,0.7,8
15,1f,0.7,10
16,1f,0.8,1
17,1f,0.8,2
18,1f,0.8,3
19,1f,0.8,4
20,1f,0.8,5
21,1f,0.8,6
22,1f,0.8,8
23,1f,0.8,10
24,1f,0.9,1
25,1f,0.9,2
26,1f,0.9,3
27,1f,0.9,4
28,1f,0.9,5
29,1f,0.9,6
30,1f,0.9,8
31,1f,0.9,10
32,4f,0.6,1
33,4f,0.6,2
34,4f,0.6,3
35,4f,0.6,4
36,4f,0.6,5
37,4f,0.6,6
38,4f,0.6,8
39,4f,0.6,10
40,4f,0.7,1
41,4f,0.7,2
42,4f,0.7,3
43,4f,0.7,4
44,4f,0.7,5
45,4f,0.7,6
46,4f,0.7,8
47,4f,0.7,10
48,4f,0.8,1
49,4f,0.8,2
50,4f,0.8,3
51,4f,0.8,4
52,4f,0.8,5
53,4f,0.8,6
54,4f,0.8,8
55,4f,0.8,10
56,4f,0.9,1
57,4f,0.9,2
58,4f,0.9,3
59,4f,0.9,4
60,4f,0.9,5
61,4f,0.9,6
62,4f,0.9,8
63,4f,0.9,10
64,8f,0.6,1
65,8f,0.6,2
66,8f,0.6,3
67,8f,0.6,4
68,8f,0.6,5
69,8f,0.6,6
70,8f,0.6,8
71,8f,0.6,10
72,8f,0.7,1
73,8f,0.7,2
74,8f,0.7,3
75,8f,0.7,4
76,8f,0.7,5
77,8f,0.7,6
78,8f,0.7,8
79,8f,0.7,10
80,8f,0.8,1
81,8f,0.8,2
82,8f,0.8,3
83,8f,0.8,4
84,8f,0.8,5
85,8f,0.8,6
86,8f,0.8,8
87,8f,0.8,10
88,8f,0.9,1
89,8f,0.9,2
90,8f,0.9,3
91,8f,0.9,4
92,8f,0.9,5
93,8f,0.9,6
94,8f,0.9,8
95,8f,0.9,10
96,16f,0.6,1
97,16f,0.6,2
98,16f,0.6,3
99,16f,0.6,4
100,16f,0.6,5
101,16f,0.6,6
102,16f,0.6,8
103,16f,0.6,10
104,16f,0.7,1
105,16f,0.7,2
106,16f,0.7,3
107,16f,0.7,4
108,16f,0.7,5
109,16f,0.7,6
110,16f,0.7,8
111,16f,0.7,10
112,16f,0.8,1
113,16f,0.8,2
114,16f,0.8,3
115,16f,0.8,4
116,16f,0.8,5
117,16f,0.8,6
118,16f,0.8,8
119,16f,0.8,10
120,16f,0.9,1
121,16f,0.9,2
122,16f,0.9,3
123,16f,0.9,4
124,16f,0.9,5
125,16f,0.9,6
126,16f,0.9,8
127,16f,0.9,10
128,18f,0.6,1
129,18f,0.6,2
130,18f,0.6,3
131,18f,0.6,4
132,18f,0.6,5
133,18f,0.6,6
134,18f,0.6,8
135,18f,0.6,10
136,18f,0.7,1
137,18f,0.7,2
138,18f,0.7,3
139,18f,0.7,4
140,18f,0.7,5
141,18f,0.7,6
142,18f,0.7,8
143,18f,0.7,10
144,18f,0.8,1
145,18f,0.8,2
146,18f,0.8,3
147,18f,0.8,4
148,18f,0.8,5
149,18f,0.8,6
150,18f,0.8,8
151,18f,0.8,10
152,18f,0.9,1
153,18f,0.9,2
154,18f,0.9,3
155,18f,0.9,4
156,18f,0.9,5
157,18f,0.9,6
158,18f,0.9,8
159,18f,0.9,10
160,20f,0.6,1
161,20f,0.6,2
162,20f,0.6,3
163,20f,0.6,4
164,20f,0.6,5
165,20f,0.6,6
166,20f,0.6,8
167,20f,0.6,10
168,20f,0.7,1
169,20f,0.7,2
170,20f,0.7,3
171,20f,0.7,4
172,20f,0.7,5
173,20f,0.7,6
174,20f,0.7,8
175,20f,0.7,10
176,20f,0.8,1
177,20f,0.8,2
178,20f,0.8,3
179,20f,0.8,4
180,20f,0.8,5
181,20f,0.8,6
182,20f,0.8,8
183,20f,0.8,10
184,20f,0.9,1
185,20f,0.9,2
186,20f,0.9,3
187,20f,0.9,4
188,20f,0.9,5
189,20f,0.9,6
190,20f,0.9,8
191,20f,0.9,10
