,load,Vin,number_fin
0,1f,0.6,1
1,1f,0.6,2
2,1f,0.6,3
3,1f,0.6,4
4,1f,0.6,5
5,1f,0.7,1
6,1f,0.7,2
7,1f,0.7,3
8,1f,0.7,4
9,1f,0.7,5
10,1f,0.8,1
11,1f,0.8,2
12,1f,0.8,3
13,1f,0.8,4
14,1f,0.8,5
15,2f,0.6,1
16,2f,0.6,2
17,2f,0.6,3
18,2f,0.6,4
19,2f,0.6,5
20,2f,0.7,1
21,2f,0.7,2
22,2f,0.7,3
23,2f,0.7,4
24,2f,0.7,5
25,2f,0.8,1
26,2f,0.8,2
27,2f,0.8,3
28,2f,0.8,4
29,2f,0.8,5
30,3f,0.6,1
31,3f,0.6,2
32,3f,0.6,3
33,3f,0.6,4
34,3f,0.6,5
35,3f,0.7,1
36,3f,0.7,2
37,3f,0.7,3
38,3f,0.7,4
39,3f,0.7,5
40,3f,0.8,1
41,3f,0.8,2
42,3f,0.8,3
43,3f,0.8,4
44,3f,0.8,5
45,4f,0.6,1
46,4f,0.6,2
47,4f,0.6,3
48,4f,0.6,4
49,4f,0.6,5
50,4f,0.7,1
51,4f,0.7,2
52,4f,0.7,3
53,4f,0.7,4
54,4f,0.7,5
55,4f,0.8,1
56,4f,0.8,2
57,4f,0.8,3
58,4f,0.8,4
59,4f,0.8,5
