,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tplHa,tphLa,tplHb,tphLb,energy,temperature,finLength,finHeight
0,0.0,0.0,1e-15,0.6,1,2.576682e-11,3.750116e-11,2.622419e-11,3.769792e-11,-1.234081e-15,75.0,2.1e-08,3.2e-08
1,-0.8014,-0.8294,1e-15,0.6,1,3.065364e-11,3.182279e-11,3.158739e-11,3.112569e-11,-1.233083e-15,75.0,2.1e-08,3.2e-08
2,-0.2677,0.215,1e-15,0.6,1,2.500872e-11,3.512074e-11,2.544561e-11,3.52571e-11,-1.222437e-15,75.0,2.1e-08,3.2e-08
3,1.6757,0.8946,1e-15,0.6,1,2.200222e-11,6.316486e-11,2.242358e-11,6.733145e-11,-1.233281e-15,75.0,2.1e-08,3.2e-08
4,0.2014,1.0447,1e-15,0.6,1,2.14737e-11,3.96551e-11,2.204355e-11,4.148134e-11,-1.228836e-15,75.0,2.1e-08,3.2e-08
5,-1.7987,2.7742,1e-15,0.6,1,1.69421e-11,2.566096e-11,1.795347e-11,2.739876e-11,-1.389967e-15,75.0,2.1e-08,3.2e-08
6,0.656,-1.2719,1e-15,0.6,1,3.438243e-11,4.488219e-11,3.449029e-11,4.532906e-11,-1.22494e-15,75.0,2.1e-08,3.2e-08
7,-0.4937,0.4482,1e-15,0.6,1,2.400425e-11,3.343677e-11,2.397168e-11,3.345749e-11,-1.234607e-15,75.0,2.1e-08,3.2e-08
8,0.3209,1.4379,1e-15,0.6,1,2.016625e-11,4.094856e-11,2.067677e-11,4.108698e-11,-1.242555e-15,75.0,2.1e-08,3.2e-08
9,-0.5189,-0.378,1e-15,0.6,1,2.788114e-11,3.3259e-11,2.880113e-11,3.323389e-11,-1.213666e-15,75.0,2.1e-08,3.2e-08
10,0.5518,0.3415,1e-15,0.6,1,2.418104e-11,4.359541e-11,2.466746e-11,4.381282e-11,-1.228893e-15,75.0,2.1e-08,3.2e-08
11,0.29,-0.1841,1e-15,0.6,1,2.677233e-11,4.056821e-11,2.70126e-11,4.070246e-11,-1.222588e-15,75.0,2.1e-08,3.2e-08
12,0.8485,-0.7446,1e-15,0.6,1,3.032807e-11,4.755998e-11,3.03257e-11,4.79548e-11,-1.215688e-15,75.0,2.1e-08,3.2e-08
13,-1.2438,0.6697,1e-15,0.6,1,2.306067e-11,2.828071e-11,2.308456e-11,2.895115e-11,-1.239684e-15,75.0,2.1e-08,3.2e-08
14,0.6131,-1.1911,1e-15,0.6,1,3.328025e-11,4.432676e-11,3.387909e-11,4.451641e-11,-1.209626e-15,75.0,2.1e-08,3.2e-08
15,0.3824,0.9694,1e-15,0.6,1,2.170142e-11,4.161092e-11,2.233274e-11,4.176783e-11,-1.228484e-15,75.0,2.1e-08,3.2e-08
16,-1.8849,0.6073,1e-15,0.6,1,2.350259e-11,2.536006e-11,2.334491e-11,2.697831e-11,-1.237262e-15,75.0,2.1e-08,3.2e-08
