,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
0,0.0,0.0,1f,0.6,1,1.393817e-11,3.122936e-11,2.441415e-11,4.799544e-11,50.0
1,-0.8014,-0.8294,1f,0.6,1,1.27285e-11,3.651331e-11,1.96661e-11,5.177712e-11,50.0
2,-0.2677,0.215,1f,0.6,1,1.331797e-11,3.012632e-11,2.398929e-11,4.713559e-11,50.0
3,1.6757,0.8946,1f,0.6,1,1.821814e-11,2.623999e-11,3.018778e-11,3.873067e-11,50.0
4,0.2014,1.0447,1f,0.6,1,1.431805e-11,2.599082e-11,2.491398e-11,3.807446e-11,50.0
5,-1.7987,2.7742,1f,0.6,1,1.086811e-11,2.080826e-11,1.993842e-11,3.447259e-11,50.0
6,0.656,-1.2719,1f,0.6,1,1.54955e-11,4.003961e-11,2.576416e-11,5.953507e-11,50.0
7,-0.4937,0.4482,1f,0.6,1,1.333414e-11,2.84801e-11,2.044079e-11,4.175743e-11,50.0
8,0.3209,1.4379,1f,0.6,1,1.452643e-11,2.463783e-11,2.52655e-11,3.821727e-11,50.0
9,-0.5189,-0.378,1f,0.6,1,1.250157e-11,3.324563e-11,2.322016e-11,4.665676e-11,50.0
10,0.5518,0.3415,1f,0.6,1,1.547699e-11,2.992855e-11,2.466691e-11,4.279924e-11,50.0
11,0.29,-0.1841,1f,0.6,1,1.452102e-11,3.22296e-11,2.507549e-11,4.490486e-11,50.0
12,0.8485,-0.7446,1f,0.6,1,1.634371e-11,3.558983e-11,2.648896e-11,5.060634e-11,50.0
13,-1.2438,0.6697,1f,0.6,1,1.185865e-11,2.759325e-11,1.951138e-11,4.038809e-11,50.0
14,0.6131,-1.1911,1f,0.6,1,1.54289e-11,3.955928e-11,2.557777e-11,5.787105e-11,50.0
15,0.3824,0.9694,1f,0.6,1,1.469577e-11,2.627777e-11,2.533382e-11,3.840904e-11,50.0
16,-1.8849,0.6073,1f,0.6,1,1.106778e-11,3.13009e-11,1.944739e-11,4.420862e-11,50.0
17,0.8013,0.2451,1f,0.6,1,1.651531e-11,2.958927e-11,2.519907e-11,4.319714e-11,50.0
18,-1.3209,0.8362,1f,0.6,1,1.199902e-11,2.664614e-11,2.093558e-11,3.900087e-11,50.0
19,-2.4502,-1.2897,1f,0.6,1,9.95734e-12,4.019307e-11,1.841839e-11,5.982715e-11,50.0
20,0.4527,0.724,1f,0.6,1,1.475361e-11,2.674697e-11,2.567455e-11,3.962043e-11,50.0
21,-0.7223,-0.2172,1f,0.6,1,1.225213e-11,3.234568e-11,2.264459e-11,4.519275e-11,50.0
22,-0.5204,-1.5757,1f,0.6,1,1.276996e-11,4.766601e-11,2.297999e-11,6.780767e-11,50.0
23,1.4914,1.8448,1f,0.6,1,1.795889e-11,2.335388e-11,2.890356e-11,3.594733e-11,50.0
24,-0.2509,1.7263,1f,0.6,1,1.366608e-11,2.381946e-11,2.352487e-11,3.705111e-11,50.0
25,-0.6471,0.4233,1f,0.6,1,1.309186e-11,2.860485e-11,2.007495e-11,4.191076e-11,50.0
26,-1.3806,-0.6952,1f,0.6,1,1.163428e-11,3.559338e-11,1.939403e-11,5.029502e-11,50.0
27,-0.9646,0.383,1f,0.6,1,1.277185e-11,2.843891e-11,2.033186e-11,4.199554e-11,50.0
28,0.667,1.6099,1f,0.6,1,1.538927e-11,2.412089e-11,2.588743e-11,3.747956e-11,50.0
29,-0.4127,0.7432,1f,0.6,1,1.269055e-11,2.778343e-11,2.413746e-11,4.064249e-11,50.0
30,1.0667,0.5062,1f,0.6,1,1.719877e-11,2.820094e-11,2.712222e-11,4.141721e-11,50.0
31,-0.6887,0.1982,1f,0.6,1,1.281874e-11,2.973168e-11,2.268648e-11,4.327191e-11,50.0
32,-0.9693,-1.3396,1f,0.6,1,1.233705e-11,4.25913e-11,1.960943e-11,6.281622e-11,50.0
33,-0.4554,-0.8909,1f,0.6,1,1.343464e-11,3.692013e-11,2.057536e-11,5.246287e-11,50.0
34,-1.3938,-0.6278,1f,0.6,1,1.152411e-11,3.511078e-11,1.973417e-11,4.954031e-11,50.0
35,-0.4497,1.4317,1f,0.6,1,1.272392e-11,2.468703e-11,2.393355e-11,3.82013e-11,50.0
