,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tphL,tplH,energy,temperature,finLength,finHeight
0,0.0,0.0,1e-15,0.6,1,3.122601e-11,1.38421e-11,-5.63469e-15,50.0,2.1e-08,3.2e-08
1,-0.8014,-0.8294,1e-15,0.6,1,3.645914e-11,1.21324e-11,-5.658039e-15,50.0,2.1e-08,3.2e-08
2,-0.2677,0.215,1e-15,0.6,1,3.012202e-11,1.32273e-11,-5.656815e-15,50.0,2.1e-08,3.2e-08
3,1.6757,0.8946,1e-15,0.6,1,2.623752e-11,1.826387e-11,-5.504315e-15,50.0,2.1e-08,3.2e-08
4,0.2014,1.0447,1e-15,0.6,1,2.599074e-11,1.43108e-11,-5.521897e-15,50.0,2.1e-08,3.2e-08
5,-1.7987,2.7742,1e-15,0.6,1,2.097005e-11,1.12375e-11,-5.623073e-15,50.0,2.1e-08,3.2e-08
6,0.656,-1.2719,1e-15,0.6,1,4.16897e-11,1.537299e-11,-5.672719e-15,50.0,2.1e-08,3.2e-08
7,-0.4937,0.4482,1e-15,0.6,1,2.860057e-11,1.270639e-11,-5.594275e-15,50.0,2.1e-08,3.2e-08
8,0.3209,1.4379,1e-15,0.6,1,2.464321e-11,1.459034e-11,-5.616023e-15,50.0,2.1e-08,3.2e-08
9,-0.5189,-0.378,1e-15,0.6,1,3.343101e-11,1.264432e-11,-5.615865e-15,50.0,2.1e-08,3.2e-08
10,0.5518,0.3415,1e-15,0.6,1,2.910231e-11,1.51294e-11,-5.599936e-15,50.0,2.1e-08,3.2e-08
11,0.29,-0.1841,1e-15,0.6,1,3.222886e-11,1.451187e-11,-5.614835e-15,50.0,2.1e-08,3.2e-08
12,0.8485,-0.7446,1e-15,0.6,1,3.584563e-11,1.584779e-11,-5.629888e-15,50.0,2.1e-08,3.2e-08
13,-1.2438,0.6697,1e-15,0.6,1,2.840775e-11,1.221856e-11,-5.547569e-15,50.0,2.1e-08,3.2e-08
14,0.6131,-1.1911,1e-15,0.6,1,3.954787e-11,1.527008e-11,-5.651787e-15,50.0,2.1e-08,3.2e-08
15,0.3824,0.9694,1e-15,0.6,1,2.628392e-11,1.473196e-11,-5.522742e-15,50.0,2.1e-08,3.2e-08
16,-1.8849,0.6073,1e-15,0.6,1,2.851386e-11,1.109462e-11,-5.567938e-15,50.0,2.1e-08,3.2e-08
17,0.8013,0.2451,1e-15,0.6,1,2.957763e-11,1.573394e-11,-5.606612e-15,50.0,2.1e-08,3.2e-08
18,-1.3209,0.8362,1e-15,0.6,1,2.770286e-11,1.206114e-11,-5.558484e-15,50.0,2.1e-08,3.2e-08
19,-2.4502,-1.2897,1e-15,0.6,1,4.001377e-11,1.031404e-11,-5.649831e-15,50.0,2.1e-08,3.2e-08
20,0.0,0.0,1e-15,0.6,1,3.268639e-11,1.490797e-11,-5.623057e-15,100.0,2.1e-08,3.2e-08
21,-0.8014,-0.8294,1e-15,0.6,1,3.828699e-11,1.309829e-11,-5.655761e-15,100.0,2.1e-08,3.2e-08
22,-0.2677,0.215,1e-15,0.6,1,3.153348e-11,1.430306e-11,-5.643142e-15,100.0,2.1e-08,3.2e-08
23,1.6757,0.8946,1e-15,0.6,1,2.778716e-11,1.973842e-11,-5.5351e-15,100.0,2.1e-08,3.2e-08
24,0.2014,1.0447,1e-15,0.6,1,2.723874e-11,1.537629e-11,-5.53676e-15,100.0,2.1e-08,3.2e-08
25,-1.7987,2.7742,1e-15,0.6,1,2.187905e-11,1.138734e-11,-5.670325e-15,100.0,2.1e-08,3.2e-08
26,0.656,-1.2719,1e-15,0.6,1,4.678958e-11,1.646449e-11,-5.604013e-15,100.0,2.1e-08,3.2e-08
27,-0.4937,0.4482,1e-15,0.6,1,3.00352e-11,1.379668e-11,-5.602199e-15,100.0,2.1e-08,3.2e-08
28,0.3209,1.4379,1e-15,0.6,1,2.574198e-11,1.56586e-11,-5.626507e-15,100.0,2.1e-08,3.2e-08
29,-0.5189,-0.378,1e-15,0.6,1,3.495193e-11,1.373609e-11,-5.641213e-15,100.0,2.1e-08,3.2e-08
30,0.5518,0.3415,1e-15,0.6,1,3.085928e-11,1.621061e-11,-5.612434e-15,100.0,2.1e-08,3.2e-08
31,0.29,-0.1841,1e-15,0.6,1,3.373308e-11,1.557814e-11,-5.628282e-15,100.0,2.1e-08,3.2e-08
32,0.8485,-0.7446,1e-15,0.6,1,3.961726e-11,1.69717e-11,-5.676555e-15,100.0,2.1e-08,3.2e-08
