 ****** PrimeSim HSPICE -- T-2022.06-SP2 linux64 (Nov 22 2022 7905465) ******
  Copyright (c) 1986 - 2024 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
3
#Number of plot points
50
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
t_fall_delay,t_rise_delay,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
1.519789e-11,1.341546e-11,-2.326348,-4.270045,-1.342726
1.704404e-11,1.513061e-11,-1.880794,-2.852844,-1.164163
1.713571e-11,1.531193e-11,-1.644854,-2.390879,-1.029883
1.727696e-11,1.601057e-11,-1.475791,-2.115665,-0.9189298
1.752151e-11,1.603432e-11,-1.340755,-1.917187,-0.8226454
1.770382e-11,1.615452e-11,-1.226528,-1.760113,-0.7365089
1.772424e-11,1.629355e-11,-1.126391,-1.628833,-0.6578258
1.775964e-11,1.678891e-11,-1.036433,-1.515115,-0.5848439
1.79763e-11,1.680675e-11,-0.9541653,-1.414092,-0.5163506
1.869805e-11,1.684851e-11,-0.8778963,-1.322649,-0.4514659
1.894908e-11,1.691834e-11,-0.8064212,-1.238669,-0.3895268
1.913085e-11,1.694398e-11,-0.7388468,-1.160648,-0.330018
1.926008e-11,1.700367e-11,-0.6744898,-1.087474,-0.2725283
1.928597e-11,1.701259e-11,-0.612813,-1.018302,-0.2167215
1.93407e-11,1.710934e-11,-0.5533847,-0.9524741,-0.1623175
1.961013e-11,1.714165e-11,-0.4958503,-0.8894631,-0.1090777
1.969231e-11,1.72378e-11,-0.4399132,-0.8288408,-0.05679543
1.974201e-11,1.725435e-11,-0.3853205,-0.7702524,-0.005288237
1.987009e-11,1.726138e-11,-0.3318533,-0.7133991,0.04560766
1.995636e-11,1.731679e-11,-0.279319,-0.658025,0.09604205
2.000047e-11,1.739008e-11,-0.227545,-0.6039081,0.1461542
2.002652e-11,1.741271e-11,-0.1763742,-0.5508526,0.196076
2.010983e-11,1.748549e-11,-0.1256613,-0.4986832,0.2459346
2.017198e-11,1.77863e-11,-0.07526986,-0.447241,0.2958547
2.027742e-11,1.779526e-11,-0.02506891,-0.3963793,0.3459607
2.032846e-11,1.781518e-11,0.02506891,-0.3459607,0.3963793
2.034968e-11,1.782983e-11,0.07526986,-0.2958547,0.447241
2.039123e-11,1.823446e-11,0.1256613,-0.2459346,0.4986832
2.054218e-11,1.836493e-11,0.1763742,-0.196076,0.5508526
2.0753e-11,1.880674e-11,0.227545,-0.1461542,0.6039081
2.128419e-11,1.881174e-11,0.279319,-0.09604205,0.658025
2.139648e-11,1.883118e-11,0.3318533,-0.04560766,0.7133991
2.174229e-11,1.903791e-11,0.3853205,0.005288237,0.7702524
2.175835e-11,1.912232e-11,0.4399132,0.05679543,0.8288408
2.197952e-11,1.927369e-11,0.4958503,0.1090777,0.8894631
2.214288e-11,1.945393e-11,0.5533847,0.1623175,0.9524741
2.221635e-11,1.971976e-11,0.612813,0.2167215,1.018302
2.253103e-11,1.988666e-11,0.6744898,0.2725283,1.087474
2.274041e-11,2.001148e-11,0.7388468,0.330018,1.160648
2.275034e-11,2.005837e-11,0.8064212,0.3895268,1.238669
2.315038e-11,2.04242e-11,0.8778963,0.4514659,1.322649
2.320679e-11,2.046733e-11,0.9541653,0.5163506,1.414092
2.355199e-11,2.061767e-11,1.036433,0.5848439,1.515115
2.478867e-11,2.086606e-11,1.126391,0.6578258,1.628833
2.503318e-11,2.087031e-11,1.226528,0.7365089,1.760113
2.507752e-11,2.110618e-11,1.340755,0.8226454,1.917187
2.509914e-11,2.120539e-11,1.475791,0.9189298,2.115665
2.565236e-11,2.139736e-11,1.644854,1.029883,2.390879
2.596582e-11,2.316053e-11,1.880794,1.164163,2.852844
2.762352e-11,2.402165e-11,2.326348,1.342726,4.270045
