,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,temper
0,0.0,0.0,1f,0.6,1,3.122601e-11,1.38421e-11,50.0
1,-0.8014,-0.8294,1f,0.6,1,3.278482e-11,1.322649e-11,50.0
2,-0.2677,0.215,1f,0.6,1,3.085124e-11,1.363714e-11,50.0
3,1.6757,0.8946,1f,0.6,1,2.933352e-11,1.514538e-11,50.0
4,0.2014,1.0447,1f,0.6,1,2.908184e-11,1.399799e-11,50.0
5,-1.7987,2.7742,1f,0.6,1,2.630069e-11,1.247495e-11,50.0
6,0.656,-1.2719,1f,0.6,1,3.367943e-11,1.43453e-11,50.0
7,-0.4937,0.4482,1f,0.6,1,3.04524e-11,1.346419e-11,50.0
8,0.3209,1.4379,1f,0.6,1,2.840405e-11,1.409042e-11,50.0
9,-0.5189,-0.378,1f,0.6,1,3.191644e-11,1.344377e-11,50.0
10,0.5518,0.3415,1f,0.6,1,3.062245e-11,1.426686e-11,50.0
11,0.29,-0.1841,1f,0.6,1,3.155286e-11,1.406458e-11,50.0
12,0.8485,-0.7446,1f,0.6,1,3.25998e-11,1.449502e-11,50.0
13,-1.2438,0.6697,1f,0.6,1,3.00798e-11,1.288844e-11,50.0
14,0.6131,-1.1911,1f,0.6,1,3.35095e-11,1.431226e-11,50.0
15,0.3824,0.9694,1f,0.6,1,2.921158e-11,1.413712e-11,50.0
16,-1.8849,0.6073,1f,0.6,1,2.967505e-11,1.242356e-11,50.0
17,0.8013,0.2451,1f,0.6,1,3.078351e-11,1.445964e-11,50.0
18,-1.3209,0.8362,1f,0.6,1,2.947116e-11,1.28293e-11,50.0
19,-2.4502,-1.2897,1f,0.6,1,3.365353e-11,1.210885e-11,50.0
20,0.0,0.0,1f,0.6,1,3.268639e-11,1.490797e-11,100.0
21,-0.8014,-0.8294,1f,0.6,1,3.429988e-11,1.430194e-11,100.0
22,-0.2677,0.215,1f,0.6,1,3.22948e-11,1.470534e-11,100.0
23,1.6757,0.8946,1f,0.6,1,3.107364e-11,1.622717e-11,100.0
24,0.2014,1.0447,1f,0.6,1,3.087379e-11,1.506307e-11,100.0
25,-1.7987,2.7742,1f,0.6,1,2.773777e-11,1.356161e-11,100.0
26,0.656,-1.2719,1f,0.6,1,3.525587e-11,1.541004e-11,100.0
27,-0.4937,0.4482,1f,0.6,1,3.187996e-11,1.453515e-11,100.0
28,0.3209,1.4379,1f,0.6,1,2.988281e-11,1.515528e-11,100.0
29,-0.5189,-0.378,1f,0.6,1,3.339876e-11,1.451491e-11,100.0
30,0.5518,0.3415,1f,0.6,1,3.206496e-11,1.533157e-11,100.0
31,0.29,-0.1841,1f,0.6,1,3.302861e-11,1.512914e-11,100.0
32,0.8485,-0.7446,1f,0.6,1,3.412281e-11,1.556107e-11,100.0
33,-1.2438,0.6697,1f,0.6,1,3.14919e-11,1.397297e-11,100.0
34,0.6131,-1.1911,1f,0.6,1,3.507804e-11,1.537685e-11,100.0
35,0.3824,0.9694,1f,0.6,1,3.099601e-11,1.520181e-11,100.0
36,-1.8849,0.6073,1f,0.6,1,3.160282e-11,1.349344e-11,100.0
37,0.8013,0.2451,1f,0.6,1,3.223085e-11,1.552554e-11,100.0
38,-1.3209,0.8362,1f,0.6,1,3.121158e-11,1.391562e-11,100.0
39,-2.4502,-1.2897,1f,0.6,1,3.535492e-11,1.306587e-11,100.0
40,0.0,0.0,1f,0.6,1,3.350544e-11,1.547386e-11,125.0
41,-0.8014,-0.8294,1f,0.6,1,3.520121e-11,1.486581e-11,125.0
42,-0.2677,0.215,1f,0.6,1,3.317164e-11,1.526994e-11,125.0
43,1.6757,0.8946,1f,0.6,1,3.354916e-11,1.682543e-11,125.0
