,load,Vin,number_fin,time
5,1f,0.7,1,2023-05-26 15:16:01.414670
1,1f,0.6,2,2023-05-26 15:16:02.936762
3,1f,0.6,4,2023-05-26 15:16:03.191974
2,1f,0.6,3,2023-05-26 15:16:03.455264
0,1f,0.6,1,2023-05-26 15:16:05.041372
4,1f,0.6,5,2023-05-26 15:16:05.572265
6,1f,0.7,2,2023-05-26 15:21:48.510027
7,1f,0.7,3,2023-05-26 15:21:52.570793
8,1f,0.7,4,2023-05-26 15:21:55.193465
10,1f,0.8,1,2023-05-26 15:21:56.859369
11,1f,0.8,2,2023-05-26 15:21:59.131517
9,1f,0.7,5,2023-05-26 15:22:01.079842
12,1f,0.8,3,2023-05-26 15:27:06.018618
14,1f,0.8,5,2023-05-26 15:27:12.363722
13,1f,0.8,4,2023-05-26 15:27:16.491499
15,1f,0.9,1,2023-05-26 15:27:17.265621
16,1f,0.9,2,2023-05-26 15:27:21.059333
17,1f,0.9,3,2023-05-26 15:27:25.030953
18,1f,0.9,4,2023-05-26 15:32:51.680159
19,1f,0.9,5,2023-05-26 15:32:58.561648
20,4f,0.6,1,2023-05-26 15:32:59.375066
21,4f,0.6,2,2023-05-26 15:33:01.721016
22,4f,0.6,3,2023-05-26 15:33:04.760690
23,4f,0.6,4,2023-05-26 15:33:05.092404
24,4f,0.6,5,2023-05-26 15:38:39.106489
26,4f,0.7,2,2023-05-26 15:38:50.468887
25,4f,0.7,1,2023-05-26 15:38:50.669903
29,4f,0.7,5,2023-05-26 15:38:59.957560
27,4f,0.7,3,2023-05-26 15:39:01.679784
28,4f,0.7,4,2023-05-26 15:39:03.732147
30,4f,0.8,1,2023-05-26 15:44:24.631231
31,4f,0.8,2,2023-05-26 15:44:36.065501
32,4f,0.8,3,2023-05-26 15:44:40.365998
35,4f,0.9,1,2023-05-26 15:44:42.517073
34,4f,0.8,5,2023-05-26 15:44:44.909311
33,4f,0.8,4,2023-05-26 15:44:46.128854
36,4f,0.9,2,2023-05-26 15:48:22.469150
37,4f,0.9,3,2023-05-26 15:48:29.381150
38,4f,0.9,4,2023-05-26 15:48:34.202082
39,4f,0.9,5,2023-05-26 15:48:38.192508
40,8f,0.6,1,2023-05-26 15:48:42.171421
41,8f,0.6,2,2023-05-26 15:48:43.455425
42,8f,0.6,3,2023-05-26 15:52:17.515831
43,8f,0.6,4,2023-05-26 15:52:24.577762
44,8f,0.6,5,2023-05-26 15:52:33.443572
45,8f,0.7,1,2023-05-26 15:52:35.248703
46,8f,0.7,2,2023-05-26 15:52:38.865603
47,8f,0.7,3,2023-05-26 15:52:39.691389
48,8f,0.7,4,2023-05-26 15:56:41.483850
49,8f,0.7,5,2023-05-26 15:56:47.428144
50,8f,0.8,1,2023-05-26 15:57:00.714802
51,8f,0.8,2,2023-05-26 15:57:02.485159
53,8f,0.8,4,2023-05-26 15:57:03.405077
52,8f,0.8,3,2023-05-26 15:57:03.682547
54,8f,0.8,5,2023-05-26 16:00:50.552077
55,8f,0.9,1,2023-05-26 16:00:53.786328
58,8f,0.9,4,2023-05-26 16:01:09.473368
57,8f,0.9,3,2023-05-26 16:01:11.972620
56,8f,0.9,2,2023-05-26 16:01:12.797866
59,8f,0.9,5,2023-05-26 16:01:13.253633
61,16f,0.6,2,2023-05-26 16:05:03.402721
60,16f,0.6,1,2023-05-26 16:05:07.220761
62,16f,0.6,3,2023-05-26 16:05:21.119982
63,16f,0.6,4,2023-05-26 16:05:22.603060
64,16f,0.6,5,2023-05-26 16:05:23.778456
65,16f,0.7,1,2023-05-26 16:05:24.692307
66,16f,0.7,2,2023-05-26 16:09:40.857250
67,16f,0.7,3,2023-05-26 16:09:42.174309
68,16f,0.7,4,2023-05-26 16:09:57.991998
69,16f,0.7,5,2023-05-26 16:09:59.343906
70,16f,0.8,1,2023-05-26 16:10:03.847972
71,16f,0.8,2,2023-05-26 16:10:05.205632
72,16f,0.8,3,2023-05-26 16:13:34.251757
73,16f,0.8,4,2023-05-26 16:13:38.223109
74,16f,0.8,5,2023-05-26 16:13:48.787236
75,16f,0.9,1,2023-05-26 16:13:49.358651
76,16f,0.9,2,2023-05-26 16:13:50.598158
77,16f,0.9,3,2023-05-26 16:13:53.472909
78,16f,0.9,4,2023-05-26 16:15:32.155736
79,16f,0.9,5,2023-05-26 16:15:37.689299
