,load,Vin,number_fin,time
4,1f,0.6,5,2023-06-14 21:02:25.363964
2,1f,0.6,3,2023-06-14 21:02:25.783364
1,1f,0.6,2,2023-06-14 21:02:27.945023
3,1f,0.6,4,2023-06-14 21:02:28.604242
5,1f,0.7,1,2023-06-14 21:02:29.797413
0,1f,0.6,1,2023-06-14 21:02:30.792129
7,1f,0.7,3,2023-06-14 21:06:41.099631
6,1f,0.7,2,2023-06-14 21:06:41.204771
9,1f,0.7,5,2023-06-14 21:06:42.831131
8,1f,0.7,4,2023-06-14 21:06:44.336346
10,1f,0.8,1,2023-06-14 21:06:44.902494
11,1f,0.8,2,2023-06-14 21:06:46.628417
12,1f,0.8,3,2023-06-14 21:10:56.820304
13,1f,0.8,4,2023-06-14 21:10:58.841387
15,1f,0.9,1,2023-06-14 21:11:00.035361
17,1f,0.9,3,2023-06-14 21:11:01.402860
16,1f,0.9,2,2023-06-14 21:11:07.936731
14,1f,0.8,5,2023-06-14 21:11:08.846462
18,1f,0.9,4,2023-06-14 21:15:00.078909
19,1f,0.9,5,2023-06-14 21:15:00.320203
20,4f,0.6,1,2023-06-14 21:15:03.321619
21,4f,0.6,2,2023-06-14 21:15:05.515926
22,4f,0.6,3,2023-06-14 21:15:10.924167
23,4f,0.6,4,2023-06-14 21:15:13.047502
25,4f,0.7,1,2023-06-14 21:19:27.181108
24,4f,0.6,5,2023-06-14 21:19:27.188717
27,4f,0.7,3,2023-06-14 21:19:28.560852
26,4f,0.7,2,2023-06-14 21:19:30.293944
28,4f,0.7,4,2023-06-14 21:19:37.447330
29,4f,0.7,5,2023-06-14 21:19:40.138217
30,4f,0.8,1,2023-06-14 21:24:10.947603
31,4f,0.8,2,2023-06-14 21:24:11.547691
33,4f,0.8,4,2023-06-14 21:24:11.555465
32,4f,0.8,3,2023-06-14 21:24:12.376
34,4f,0.8,5,2023-06-14 21:24:17.803928
35,4f,0.9,1,2023-06-14 21:24:19.929925
37,4f,0.9,3,2023-06-14 21:28:53.428848
36,4f,0.9,2,2023-06-14 21:28:54.750518
39,4f,0.9,5,2023-06-14 21:29:00.943435
40,8f,0.6,1,2023-06-14 21:29:04.384485
38,4f,0.9,4,2023-06-14 21:29:04.811522
41,8f,0.6,2,2023-06-14 21:29:06.191505
42,8f,0.6,3,2023-06-14 21:33:24.940447
43,8f,0.6,4,2023-06-14 21:33:26.798977
44,8f,0.6,5,2023-06-14 21:33:32.252619
45,8f,0.7,1,2023-06-14 21:33:36.821391
47,8f,0.7,3,2023-06-14 21:33:40.740487
46,8f,0.7,2,2023-06-14 21:33:41.146814
48,8f,0.7,4,2023-06-14 21:37:35.645633
49,8f,0.7,5,2023-06-14 21:37:38.283907
50,8f,0.8,1,2023-06-14 21:37:39.874274
51,8f,0.8,2,2023-06-14 21:37:43.857965
53,8f,0.8,4,2023-06-14 21:37:47.947967
52,8f,0.8,3,2023-06-14 21:37:51.852591
54,8f,0.8,5,2023-06-14 21:41:48.290719
55,8f,0.9,1,2023-06-14 21:41:51.507075
56,8f,0.9,2,2023-06-14 21:41:52.404133
57,8f,0.9,3,2023-06-14 21:41:54.139244
58,8f,0.9,4,2023-06-14 21:42:00.616213
59,8f,0.9,5,2023-06-14 21:42:04.777040
61,16f,0.6,2,2023-06-14 21:46:00.763983
60,16f,0.6,1,2023-06-14 21:46:04.266077
63,16f,0.6,4,2023-06-14 21:46:04.844655
62,16f,0.6,3,2023-06-14 21:46:05.208262
65,16f,0.7,1,2023-06-14 21:46:12.309320
64,16f,0.6,5,2023-06-14 21:46:13.821935
66,16f,0.7,2,2023-06-14 21:50:36.380339
67,16f,0.7,3,2023-06-14 21:50:42.137421
68,16f,0.7,4,2023-06-14 21:50:43.543377
69,16f,0.7,5,2023-06-14 21:50:46.269192
71,16f,0.8,2,2023-06-14 21:50:48.909788
70,16f,0.8,1,2023-06-14 21:50:50.288974
73,16f,0.8,4,2023-06-14 21:55:30.689435
75,16f,0.9,1,2023-06-14 21:55:30.870697
74,16f,0.8,5,2023-06-14 21:55:31.804830
72,16f,0.8,3,2023-06-14 21:55:32.754132
76,16f,0.9,2,2023-06-14 21:55:33.287880
77,16f,0.9,3,2023-06-14 21:55:35.583616
79,16f,0.9,5,2023-06-14 21:57:34.322186
78,16f,0.9,4,2023-06-14 21:57:35.558904
