,load,Vin,number_fin,time
5,1f,0.6,6,2023-07-13 13:48:18.275549
2,1f,0.6,3,2023-07-13 13:48:19.581708
1,1f,0.6,2,2023-07-13 13:48:20.511840
4,1f,0.6,5,2023-07-13 13:48:20.525323
0,1f,0.6,1,2023-07-13 13:48:20.689978
3,1f,0.6,4,2023-07-13 13:48:20.839720
6,1f,0.6,8,2023-07-13 13:48:57.164742
7,1f,0.6,10,2023-07-13 13:48:59.771873
9,1f,0.7,2,2023-07-13 13:49:00.141623
8,1f,0.7,1,2023-07-13 13:49:01.591579
10,1f,0.7,3,2023-07-13 13:49:07.923037
11,1f,0.7,4,2023-07-13 13:49:08.474779
12,1f,0.7,5,2023-07-13 13:49:38.744048
14,1f,0.7,8,2023-07-13 13:49:41.809317
13,1f,0.7,6,2023-07-13 13:49:43.443902
15,1f,0.7,10,2023-07-13 13:49:43.823151
17,1f,0.8,2,2023-07-13 13:49:49.607361
16,1f,0.8,1,2023-07-13 13:49:50.408220
18,1f,0.8,3,2023-07-13 13:50:20.999943
19,1f,0.8,4,2023-07-13 13:50:23.347284
21,1f,0.8,6,2023-07-13 13:50:24.791556
20,1f,0.8,5,2023-07-13 13:50:25.181852
23,1f,0.8,10,2023-07-13 13:50:32.387368
22,1f,0.8,8,2023-07-13 13:50:32.472422
24,1f,0.9,1,2023-07-13 13:51:01.001720
25,1f,0.9,2,2023-07-13 13:51:02.017844
27,1f,0.9,4,2023-07-13 13:51:04.167415
26,1f,0.9,3,2023-07-13 13:51:05.199665
29,1f,0.9,6,2023-07-13 13:51:10.680865
28,1f,0.9,5,2023-07-13 13:51:11.906094
30,1f,0.9,8,2023-07-13 13:51:42.650411
31,1f,0.9,10,2023-07-13 13:51:42.912416
32,4f,0.6,1,2023-07-13 13:51:44.402143
33,4f,0.6,2,2023-07-13 13:51:45.969782
34,4f,0.6,3,2023-07-13 13:51:51.782323
35,4f,0.6,4,2023-07-13 13:51:51.889468
37,4f,0.6,6,2023-07-13 13:52:22.607607
36,4f,0.6,5,2023-07-13 13:52:23.364251
38,4f,0.6,8,2023-07-13 13:52:25.831403
39,4f,0.6,10,2023-07-13 13:52:28.579471
41,4f,0.7,2,2023-07-13 13:52:31.301212
40,4f,0.7,1,2023-07-13 13:52:31.871791
42,4f,0.7,3,2023-07-13 13:53:01.157611
43,4f,0.7,4,2023-07-13 13:53:02.983272
44,4f,0.7,5,2023-07-13 13:53:04.793064
45,4f,0.7,6,2023-07-13 13:53:07.695521
46,4f,0.7,8,2023-07-13 13:53:10.434682
47,4f,0.7,10,2023-07-13 13:53:11.137569
48,4f,0.8,1,2023-07-13 13:53:41.109450
49,4f,0.8,2,2023-07-13 13:53:42.872920
50,4f,0.8,3,2023-07-13 13:53:45.433609
51,4f,0.8,4,2023-07-13 13:53:48.124598
52,4f,0.8,5,2023-07-13 13:53:50.374534
53,4f,0.8,6,2023-07-13 13:53:50.492581
54,4f,0.8,8,2023-07-13 13:54:20.402664
55,4f,0.8,10,2023-07-13 13:54:23.459479
56,4f,0.9,1,2023-07-13 13:54:28.070709
57,4f,0.9,2,2023-07-13 13:54:31.924022
59,4f,0.9,4,2023-07-13 13:54:36.141491
58,4f,0.9,3,2023-07-13 13:54:36.444230
60,4f,0.9,5,2023-07-13 13:55:14.673196
61,4f,0.9,6,2023-07-13 13:55:14.706903
62,4f,0.9,8,2023-07-13 13:55:18.878849
63,4f,0.9,10,2023-07-13 13:55:21.601936
64,8f,0.6,1,2023-07-13 13:55:23.929229
65,8f,0.6,2,2023-07-13 13:55:26.623193
66,8f,0.6,3,2023-07-13 13:55:55.835426
67,8f,0.6,4,2023-07-13 13:55:55.932054
68,8f,0.6,5,2023-07-13 13:55:59.831798
69,8f,0.6,6,2023-07-13 13:56:03.853383
70,8f,0.6,8,2023-07-13 13:56:05.700581
71,8f,0.6,10,2023-07-13 13:56:06.305484
73,8f,0.7,2,2023-07-13 13:56:37.825140
72,8f,0.7,1,2023-07-13 13:56:38.610766
74,8f,0.7,3,2023-07-13 13:56:41.321209
75,8f,0.7,4,2023-07-13 13:56:45.642475
76,8f,0.7,5,2023-07-13 13:56:46.824721
77,8f,0.7,6,2023-07-13 13:56:48.258777
78,8f,0.7,8,2023-07-13 13:57:18.960789
79,8f,0.7,10,2023-07-13 13:57:20.039660
80,8f,0.8,1,2023-07-13 13:57:22.344369
81,8f,0.8,2,2023-07-13 13:57:25.863901
82,8f,0.8,3,2023-07-13 13:57:29.485739
83,8f,0.8,4,2023-07-13 13:57:29.562678
85,8f,0.8,6,2023-07-13 13:58:00.599892
84,8f,0.8,5,2023-07-13 13:58:00.785941
86,8f,0.8,8,2023-07-13 13:58:03.633735
87,8f,0.8,10,2023-07-13 13:58:08.392444
88,8f,0.9,1,2023-07-13 13:58:11.562621
89,8f,0.9,2,2023-07-13 13:58:13.654656
90,8f,0.9,3,2023-07-13 13:58:42.807032
91,8f,0.9,4,2023-07-13 13:58:43.634811
92,8f,0.9,5,2023-07-13 13:58:45.423183
93,8f,0.9,6,2023-07-13 13:58:49.975584
94,8f,0.9,8,2023-07-13 13:58:52.623182
95,8f,0.9,10,2023-07-13 13:58:54.519272
96,16f,0.6,1,2023-07-13 13:59:21.996395
97,16f,0.6,2,2023-07-13 13:59:22.925117
98,16f,0.6,3,2023-07-13 13:59:24.467676
99,16f,0.6,4,2023-07-13 13:59:30.640410
100,16f,0.6,5,2023-07-13 13:59:31.835913
101,16f,0.6,6,2023-07-13 13:59:33.697366
103,16f,0.6,10,2023-07-13 14:00:01.669440
102,16f,0.6,8,2023-07-13 14:00:02.740103
104,16f,0.7,1,2023-07-13 14:00:04.516440
105,16f,0.7,2,2023-07-13 14:00:10.786802
106,16f,0.7,3,2023-07-13 14:00:12.685392
107,16f,0.7,4,2023-07-13 14:00:13.854558
108,16f,0.7,5,2023-07-13 14:00:40.042932
109,16f,0.7,6,2023-07-13 14:00:41.133821
110,16f,0.7,8,2023-07-13 14:00:43.458533
111,16f,0.7,10,2023-07-13 14:00:49.910353
112,16f,0.8,1,2023-07-13 14:00:51.388714
113,16f,0.8,2,2023-07-13 14:00:52.458753
115,16f,0.8,4,2023-07-13 14:01:20.290845
114,16f,0.8,3,2023-07-13 14:01:21.175668
116,16f,0.8,5,2023-07-13 14:01:23.376773
117,16f,0.8,6,2023-07-13 14:01:29.497938
118,16f,0.8,8,2023-07-13 14:01:31.148267
119,16f,0.8,10,2023-07-13 14:01:33.302193
120,16f,0.9,1,2023-07-13 14:02:01.161906
121,16f,0.9,2,2023-07-13 14:02:02.994251
122,16f,0.9,3,2023-07-13 14:02:04.088432
123,16f,0.9,4,2023-07-13 14:02:09.636295
124,16f,0.9,5,2023-07-13 14:02:11.777389
125,16f,0.9,6,2023-07-13 14:02:12.999098
126,16f,0.9,8,2023-07-13 14:02:41.702941
