,LoadCap,vdd,number_fin,time
2,1f,0.6,3,2023-05-26 01:59:40.328802
1,1f,0.6,2,2023-05-26 01:59:40.559271
4,1f,0.6,5,2023-05-26 01:59:40.563156
5,1f,0.7,1,2023-05-26 01:59:40.566795
0,1f,0.6,1,2023-05-26 01:59:40.570378
3,1f,0.6,4,2023-05-26 01:59:40.573960
7,1f,0.7,3,2023-05-26 02:05:42.473397
11,1f,0.8,2,2023-05-26 02:05:42.576237
9,1f,0.7,5,2023-05-26 02:05:42.580016
6,1f,0.7,2,2023-05-26 02:05:42.583529
10,1f,0.8,1,2023-05-26 02:05:42.657230
8,1f,0.7,4,2023-05-26 02:05:43.565059
13,1f,0.8,4,2023-05-26 02:10:54.630964
17,1f,0.9,3,2023-05-26 02:10:54.791816
12,1f,0.8,3,2023-05-26 02:10:55.425855
15,1f,0.9,1,2023-05-26 02:10:56.237258
14,1f,0.8,5,2023-05-26 02:10:58.143618
16,1f,0.9,2,2023-05-26 02:10:59.616256
19,1f,0.9,5,2023-05-26 02:16:05.151762
20,4f,0.6,1,2023-05-26 02:16:05.922339
21,4f,0.6,2,2023-05-26 02:16:07.004304
18,1f,0.9,4,2023-05-26 02:16:07.590919
22,4f,0.6,3,2023-05-26 02:16:08.606182
23,4f,0.6,4,2023-05-26 02:16:10.308226
25,4f,0.7,1,2023-05-26 02:20:09.927809
24,4f,0.6,5,2023-05-26 02:20:10.592221
26,4f,0.7,2,2023-05-26 02:20:10.638516
28,4f,0.7,4,2023-05-26 02:20:11.123779
27,4f,0.7,3,2023-05-26 02:20:11.482942
29,4f,0.7,5,2023-05-26 02:20:13.189738
30,4f,0.8,1,2023-05-26 02:24:26.031605
31,4f,0.8,2,2023-05-26 02:24:27.174838
33,4f,0.8,4,2023-05-26 02:24:28.456286
35,4f,0.9,1,2023-05-26 02:24:29.741172
32,4f,0.8,3,2023-05-26 02:24:31.929356
34,4f,0.8,5,2023-05-26 02:24:32.334297
36,4f,0.9,2,2023-05-26 02:28:38.011631
40,8f,0.6,1,2023-05-26 02:28:41.320208
41,8f,0.6,2,2023-05-26 02:28:43.086755
39,4f,0.9,5,2023-05-26 02:28:44.440869
38,4f,0.9,4,2023-05-26 02:28:44.843586
37,4f,0.9,3,2023-05-26 02:28:50.612244
42,8f,0.6,3,2023-05-26 02:32:08.979914
43,8f,0.6,4,2023-05-26 02:32:11.911807
44,8f,0.6,5,2023-05-26 02:32:15.371804
45,8f,0.7,1,2023-05-26 02:32:15.378913
46,8f,0.7,2,2023-05-26 02:32:17.698224
47,8f,0.7,3,2023-05-26 02:32:21.301497
48,8f,0.7,4,2023-05-26 02:36:31.561187
49,8f,0.7,5,2023-05-26 02:36:33.897889
50,8f,0.8,1,2023-05-26 02:36:35.266937
51,8f,0.8,2,2023-05-26 02:36:35.527517
53,8f,0.8,4,2023-05-26 02:36:38.516549
52,8f,0.8,3,2023-05-26 02:36:38.756275
58,8f,0.9,4,2023-05-26 02:41:06.880189
59,8f,0.9,5,2023-05-26 02:41:10.547012
56,8f,0.9,2,2023-05-26 02:41:10.569136
55,8f,0.9,1,2023-05-26 02:41:11.981368
54,8f,0.8,5,2023-05-26 02:41:13.668014
57,8f,0.9,3,2023-05-26 02:41:14.789409
60,16f,0.6,1,2023-05-26 02:44:59.927352
62,16f,0.6,3,2023-05-26 02:45:02.614408
61,16f,0.6,2,2023-05-26 02:45:04.621518
63,16f,0.6,4,2023-05-26 02:45:06.155072
64,16f,0.6,5,2023-05-26 02:45:06.434369
65,16f,0.7,1,2023-05-26 02:45:07.390641
66,16f,0.7,2,2023-05-26 02:49:04.615963
67,16f,0.7,3,2023-05-26 02:49:10.144607
68,16f,0.7,4,2023-05-26 02:49:11.159196
71,16f,0.8,2,2023-05-26 02:49:13.492624
70,16f,0.8,1,2023-05-26 02:49:14.294542
69,16f,0.7,5,2023-05-26 02:49:15.067404
72,16f,0.8,3,2023-05-26 02:52:42.232933
73,16f,0.8,4,2023-05-26 02:52:44.744502
74,16f,0.8,5,2023-05-26 02:52:47.969683
75,16f,0.9,1,2023-05-26 02:52:48.881057
76,16f,0.9,2,2023-05-26 02:52:50.491702
77,16f,0.9,3,2023-05-26 02:52:50.621723
78,16f,0.9,4,2023-05-26 02:54:17.340745
79,16f,0.9,5,2023-05-26 02:54:19.461258
