,LoadCap,vdd,number_fin,time
5,1f,0.7,1,2023-05-27 15:59:07.732062
3,1f,0.6,4,2023-05-27 15:59:08.818001
4,1f,0.6,5,2023-05-27 15:59:09.158328
1,1f,0.6,2,2023-05-27 15:59:09.653333
0,1f,0.6,1,2023-05-27 15:59:09.698993
2,1f,0.6,3,2023-05-27 15:59:10.721528
8,1f,0.7,4,2023-05-27 16:03:57.765110
6,1f,0.7,2,2023-05-27 16:03:59.146459
7,1f,0.7,3,2023-05-27 16:04:02.924998
11,1f,0.8,2,2023-05-27 16:04:04.588162
9,1f,0.7,5,2023-05-27 16:04:10.065004
10,1f,0.8,1,2023-05-27 16:04:10.459487
12,1f,0.8,3,2023-05-27 16:08:17.131777
13,1f,0.8,4,2023-05-27 16:08:17.148084
14,1f,0.8,5,2023-05-27 16:08:22.241107
15,1f,0.9,1,2023-05-27 16:08:25.290828
16,1f,0.9,2,2023-05-27 16:08:26.897042
17,1f,0.9,3,2023-05-27 16:08:27.764902
19,1f,0.9,5,2023-05-27 16:12:50.274531
18,1f,0.9,4,2023-05-27 16:12:52.041571
20,4f,0.6,1,2023-05-27 16:12:57.972751
21,4f,0.6,2,2023-05-27 16:12:59.432736
22,4f,0.6,3,2023-05-27 16:13:03.562033
23,4f,0.6,4,2023-05-27 16:13:06.144159
24,4f,0.6,5,2023-05-27 16:17:21.772348
25,4f,0.7,1,2023-05-27 16:17:21.796034
26,4f,0.7,2,2023-05-27 16:17:25.425484
27,4f,0.7,3,2023-05-27 16:17:29.115441
29,4f,0.7,5,2023-05-27 16:17:33.664381
28,4f,0.7,4,2023-05-27 16:17:34.560368
30,4f,0.8,1,2023-05-27 16:21:49.518537
31,4f,0.8,2,2023-05-27 16:21:51.520596
32,4f,0.8,3,2023-05-27 16:21:55.406202
33,4f,0.8,4,2023-05-27 16:21:56.208035
34,4f,0.8,5,2023-05-27 16:22:00.989025
35,4f,0.9,1,2023-05-27 16:22:01.631989
36,4f,0.9,2,2023-05-27 16:25:52.998335
37,4f,0.9,3,2023-05-27 16:25:54.654690
38,4f,0.9,4,2023-05-27 16:25:57.557281
39,4f,0.9,5,2023-05-27 16:25:59.236369
40,8f,0.6,1,2023-05-27 16:26:04.793864
41,8f,0.6,2,2023-05-27 16:26:05.754447
42,8f,0.6,3,2023-05-27 16:29:54.929170
43,8f,0.6,4,2023-05-27 16:29:56.285425
44,8f,0.6,5,2023-05-27 16:29:58.929013
45,8f,0.7,1,2023-05-27 16:29:59.713699
46,8f,0.7,2,2023-05-27 16:30:03.969135
47,8f,0.7,3,2023-05-27 16:30:06.237730
48,8f,0.7,4,2023-05-27 16:33:59.848334
49,8f,0.7,5,2023-05-27 16:34:00.418907
50,8f,0.8,1,2023-05-27 16:34:06.534002
51,8f,0.8,2,2023-05-27 16:34:07.620292
52,8f,0.8,3,2023-05-27 16:34:10.061722
53,8f,0.8,4,2023-05-27 16:34:14.136688
55,8f,0.9,1,2023-05-27 16:37:58.466418
54,8f,0.8,5,2023-05-27 16:38:00.258117
57,8f,0.9,3,2023-05-27 16:38:04.786818
56,8f,0.9,2,2023-05-27 16:38:05.790323
58,8f,0.9,4,2023-05-27 16:38:06.738782
59,8f,0.9,5,2023-05-27 16:38:11.581118
61,16f,0.6,2,2023-05-27 16:42:15.083699
60,16f,0.6,1,2023-05-27 16:42:15.091204
62,16f,0.6,3,2023-05-27 16:42:19.167344
63,16f,0.6,4,2023-05-27 16:42:22.222686
64,16f,0.6,5,2023-05-27 16:42:22.475291
65,16f,0.7,1,2023-05-27 16:42:28.108399
67,16f,0.7,3,2023-05-27 16:46:53.133727
66,16f,0.7,2,2023-05-27 16:46:54.735586
68,16f,0.7,4,2023-05-27 16:46:55.844417
69,16f,0.7,5,2023-05-27 16:46:59.051090
70,16f,0.8,1,2023-05-27 16:46:59.061373
71,16f,0.8,2,2023-05-27 16:47:01.292116
72,16f,0.8,3,2023-05-27 16:51:25.544255
73,16f,0.8,4,2023-05-27 16:51:26.175009
74,16f,0.8,5,2023-05-27 16:51:27.520557
75,16f,0.9,1,2023-05-27 16:51:29.429001
77,16f,0.9,3,2023-05-27 16:51:31.373494
76,16f,0.9,2,2023-05-27 16:51:31.805120
79,16f,0.9,5,2023-05-27 16:53:20.221585
78,16f,0.9,4,2023-05-27 16:53:20.368027
