,LoadCap,vdd,number_fin,time
4,1f,0.6,5,2023-07-13 13:09:49.919457
5,1f,0.6,6,2023-07-13 13:09:50.258371
1,1f,0.6,2,2023-07-13 13:09:50.599575
3,1f,0.6,4,2023-07-13 13:09:51.423306
2,1f,0.6,3,2023-07-13 13:09:51.573880
0,1f,0.6,1,2023-07-13 13:09:51.679607
10,1f,0.7,3,2023-07-13 13:10:40.454505
11,1f,0.7,4,2023-07-13 13:10:40.646817
9,1f,0.7,2,2023-07-13 13:10:40.678476
8,1f,0.7,1,2023-07-13 13:10:41.702755
6,1f,0.6,8,2023-07-13 13:10:41.777365
7,1f,0.6,10,2023-07-13 13:10:42.453889
12,1f,0.7,5,2023-07-13 13:11:13.512646
13,1f,0.7,6,2023-07-13 13:11:14.073479
15,1f,0.7,10,2023-07-13 13:11:14.492195
16,1f,0.8,1,2023-07-13 13:11:14.922430
14,1f,0.7,8,2023-07-13 13:11:21.343846
17,1f,0.8,2,2023-07-13 13:11:22.759824
18,1f,0.8,3,2023-07-13 13:11:49.689736
19,1f,0.8,4,2023-07-13 13:11:49.754930
20,1f,0.8,5,2023-07-13 13:11:49.919282
22,1f,0.8,8,2023-07-13 13:11:56.617558
21,1f,0.8,6,2023-07-13 13:11:57.013355
23,1f,0.8,10,2023-07-13 13:11:58.334713
25,1f,0.9,2,2023-07-13 13:12:25.380868
24,1f,0.9,1,2023-07-13 13:12:25.890472
26,1f,0.9,3,2023-07-13 13:12:31.532676
27,1f,0.9,4,2023-07-13 13:12:32.596336
28,1f,0.9,5,2023-07-13 13:12:33.481414
29,1f,0.9,6,2023-07-13 13:12:34.153629
30,1f,0.9,8,2023-07-13 13:12:59.523996
31,1f,0.9,10,2023-07-13 13:13:00.235359
32,4f,0.6,1,2023-07-13 13:13:05.788623
33,4f,0.6,2,2023-07-13 13:13:07.065619
34,4f,0.6,3,2023-07-13 13:13:08.536388
35,4f,0.6,4,2023-07-13 13:13:10.311529
36,4f,0.6,5,2023-07-13 13:13:35.089478
37,4f,0.6,6,2023-07-13 13:13:35.694359
38,4f,0.6,8,2023-07-13 13:13:41.183554
39,4f,0.6,10,2023-07-13 13:13:42.387101
40,4f,0.7,1,2023-07-13 13:13:43.524948
41,4f,0.7,2,2023-07-13 13:13:46.362423
43,4f,0.7,4,2023-07-13 13:14:09.535498
42,4f,0.7,3,2023-07-13 13:14:10.026242
44,4f,0.7,5,2023-07-13 13:14:15.348998
45,4f,0.7,6,2023-07-13 13:14:15.355053
46,4f,0.7,8,2023-07-13 13:14:17.802952
47,4f,0.7,10,2023-07-13 13:14:20.427330
48,4f,0.8,1,2023-07-13 13:14:46.076597
49,4f,0.8,2,2023-07-13 13:14:46.480079
51,4f,0.8,4,2023-07-13 13:14:54.124240
50,4f,0.8,3,2023-07-13 13:14:54.309998
52,4f,0.8,5,2023-07-13 13:14:55.177214
53,4f,0.8,6,2023-07-13 13:14:58.444585
54,4f,0.8,8,2023-07-13 13:15:24.491658
55,4f,0.8,10,2023-07-13 13:15:24.879431
58,4f,0.9,3,2023-07-13 13:15:33.606243
56,4f,0.9,1,2023-07-13 13:15:34.172050
57,4f,0.9,2,2023-07-13 13:15:34.442834
59,4f,0.9,4,2023-07-13 13:15:37.711395
61,4f,0.9,6,2023-07-13 13:16:05.061353
60,4f,0.9,5,2023-07-13 13:16:05.706122
62,4f,0.9,8,2023-07-13 13:16:12.750653
63,4f,0.9,10,2023-07-13 13:16:13.777770
65,8f,0.6,2,2023-07-13 13:16:18.464957
64,8f,0.6,1,2023-07-13 13:16:19.890559
66,8f,0.6,3,2023-07-13 13:16:41.496177
67,8f,0.6,4,2023-07-13 13:16:41.671523
68,8f,0.6,5,2023-07-13 13:16:49.203118
69,8f,0.6,6,2023-07-13 13:16:49.602853
70,8f,0.6,8,2023-07-13 13:16:53.769487
71,8f,0.6,10,2023-07-13 13:16:56.277529
72,8f,0.7,1,2023-07-13 13:17:21.484865
73,8f,0.7,2,2023-07-13 13:17:21.813358
74,8f,0.7,3,2023-07-13 13:17:28.440387
75,8f,0.7,4,2023-07-13 13:17:29.430142
76,8f,0.7,5,2023-07-13 13:17:32.185353
77,8f,0.7,6,2023-07-13 13:17:35.811175
78,8f,0.7,8,2023-07-13 13:18:00.063401
79,8f,0.7,10,2023-07-13 13:18:00.074528
80,8f,0.8,1,2023-07-13 13:18:06.500780
81,8f,0.8,2,2023-07-13 13:18:07.346566
82,8f,0.8,3,2023-07-13 13:18:10.092833
83,8f,0.8,4,2023-07-13 13:18:13.963924
84,8f,0.8,5,2023-07-13 13:18:38.619099
85,8f,0.8,6,2023-07-13 13:18:39.045788
86,8f,0.8,8,2023-07-13 13:18:44.202645
87,8f,0.8,10,2023-07-13 13:18:45.621066
88,8f,0.9,1,2023-07-13 13:18:47.545494
89,8f,0.9,2,2023-07-13 13:18:51.333308
90,8f,0.9,3,2023-07-13 13:19:12.828645
91,8f,0.9,4,2023-07-13 13:19:13.606407
92,8f,0.9,5,2023-07-13 13:19:18.342889
93,8f,0.9,6,2023-07-13 13:19:19.765234
94,8f,0.9,8,2023-07-13 13:19:21.713427
95,8f,0.9,10,2023-07-13 13:19:26.152993
96,16f,0.6,1,2023-07-13 13:19:49.212772
97,16f,0.6,2,2023-07-13 13:19:50.168939
98,16f,0.6,3,2023-07-13 13:19:55.644702
99,16f,0.6,4,2023-07-13 13:19:57.736727
100,16f,0.6,5,2023-07-13 13:19:59.194205
101,16f,0.6,6,2023-07-13 13:20:04.759710
102,16f,0.6,8,2023-07-13 13:20:24.615312
103,16f,0.6,10,2023-07-13 13:20:25.552009
104,16f,0.7,1,2023-07-13 13:20:30.137987
105,16f,0.7,2,2023-07-13 13:20:32.973247
106,16f,0.7,3,2023-07-13 13:20:34.505772
107,16f,0.7,4,2023-07-13 13:20:39.419504
108,16f,0.7,5,2023-07-13 13:20:59.051741
109,16f,0.7,6,2023-07-13 13:21:01.028361
110,16f,0.7,8,2023-07-13 13:21:05.299843
111,16f,0.7,10,2023-07-13 13:21:07.983231
112,16f,0.8,1,2023-07-13 13:21:11.012874
113,16f,0.8,2,2023-07-13 13:21:15.179943
114,16f,0.8,3,2023-07-13 13:21:34.564224
115,16f,0.8,4,2023-07-13 13:21:35.970805
116,16f,0.8,5,2023-07-13 13:21:40.468397
117,16f,0.8,6,2023-07-13 13:21:42.451094
118,16f,0.8,8,2023-07-13 13:21:45.269791
119,16f,0.8,10,2023-07-13 13:21:49.589488
120,16f,0.9,1,2023-07-13 13:22:09.222374
121,16f,0.9,2,2023-07-13 13:22:09.823198
122,16f,0.9,3,2023-07-13 13:22:13.956167
123,16f,0.9,4,2023-07-13 13:22:16.490579
124,16f,0.9,5,2023-07-13 13:22:19.588970
125,16f,0.9,6,2023-07-13 13:22:23.899221
126,16f,0.9,8,2023-07-13 13:22:43.923251
127,16f,0.9,10,2023-07-13 13:22:44.956278
128,18f,0.6,1,2023-07-13 13:22:48.009691
129,18f,0.6,2,2023-07-13 13:22:51.551624
130,18f,0.6,3,2023-07-13 13:22:55.078200
