$DATA1 SOURCE='HSPICE' VERSION='H-2013.03-SP1 32-BIT'
$OPTION MEASFORM=3
.TITLE ' '
index,nmos@var,pmos@varp,tphl,tplh,iint,temper,alter#
1,   0.5166,  -0.4341, 1.144e-11, 1.214e-11,-1.587e-15,  25.0000,7
2,   0.5064,  -0.4523, 1.112e-11, 1.335e-11,-1.569e-15,  25.0000,7
3,   0.4909,  -0.4618, 1.065e-11, 1.384e-11,-1.592e-15,  25.0000,7
4,   0.4882,  -0.4667, 1.058e-11, 1.410e-11,-1.593e-15,  25.0000,7
5,   0.5275,  -0.4342, 1.179e-11, 1.222e-11,-1.625e-15,  25.0000,7
6,   0.5305,  -0.4537, 1.189e-11, 1.348e-11,-1.564e-15,  25.0000,7
7,   0.5191,  -0.4656, 1.151e-11, 1.411e-11,-1.584e-15,  25.0000,7
8,   0.5116,  -0.4523, 1.128e-11, 1.336e-11,-1.568e-15,  25.0000,7
9,   0.4930,  -0.4596, 1.072e-11, 1.372e-11,-1.590e-15,  25.0000,7
10,   0.5138,  -0.4571, 1.135e-11, 1.363e-11,-1.567e-15,  25.0000,7
11,   0.5031,  -0.4144, 1.102e-11, 1.163e-11,-1.581e-15,  25.0000,7
12,   0.5083,  -0.4690, 1.117e-11, 1.427e-11,-1.587e-15,  25.0000,7
13,   0.5180,  -0.4331, 1.148e-11, 1.209e-11,-1.587e-15,  25.0000,7
14,   0.5025,  -0.4388, 1.100e-11, 1.281e-11,-1.576e-15,  25.0000,7
15,   0.5321,  -0.4537, 1.195e-11, 1.348e-11,-1.564e-15,  25.0000,7
16,   0.4758,  -0.4339, 1.024e-11, 1.206e-11,-1.605e-15,  25.0000,7
17,   0.5096,  -0.4574, 1.121e-11, 1.364e-11,-1.568e-15,  25.0000,7
18,   0.5046,  -0.4541, 1.106e-11, 1.346e-11,-1.568e-15,  25.0000,7
19,   0.5225,  -0.4463, 1.162e-11, 1.304e-11,-1.564e-15,  25.0000,7
20,   0.4715,  -0.4465, 1.012e-11, 1.294e-11,-1.587e-15,  25.0000,7
21,   0.5435,  -0.4475, 1.234e-11, 1.298e-11,-1.571e-15,  25.0000,7
22,   0.5043,  -0.4661, 1.105e-11, 1.410e-11,-1.589e-15,  25.0000,7
23,   0.5032,  -0.4370, 1.102e-11, 1.276e-11,-1.577e-15,  25.0000,7
24,   0.4905,  -0.4308, 1.065e-11, 1.194e-11,-1.595e-15,  25.0000,7
25,   0.5050,  -0.4777, 1.107e-11, 1.473e-11,-1.589e-15,  25.0000,7
26,   0.5018,  -0.4382, 1.098e-11, 1.236e-11,-1.606e-15,  25.0000,7
27,   0.4942,  -0.4576, 1.075e-11, 1.361e-11,-1.572e-15,  25.0000,7
28,   0.5054,  -0.4406, 1.109e-11, 1.270e-11,-1.567e-15,  25.0000,7
29,   0.4963,  -0.4560, 1.081e-11, 1.353e-11,-1.571e-15,  25.0000,7
30,   0.5357,  -0.4482, 1.207e-11, 1.317e-11,-1.563e-15,  25.0000,7
31,   0.5364,  -0.4471, 1.209e-11, 1.311e-11,-1.562e-15,  25.0000,7
32,   0.4932,  -0.4503, 1.072e-11, 1.321e-11,-1.572e-15,  25.0000,7
33,   0.5352,  -0.4318, 1.205e-11, 1.205e-11,-1.584e-15,  25.0000,7
34,   0.4692,  -0.4308, 1.006e-11, 1.190e-11,-1.612e-15,  25.0000,7
35,   0.5275,  -0.4225, 1.179e-11, 1.170e-11,-1.629e-15,  25.0000,7
36,   0.4900,  -0.4729, 1.063e-11, 1.444e-11,-1.592e-15,  25.0000,7
37,   0.5196,  -0.4410, 1.153e-11, 1.273e-11,-1.565e-15,  25.0000,7
38,   0.5433,  -0.4507, 1.233e-11, 1.309e-11,-1.568e-15,  25.0000,7
