$DATA1 SOURCE='HSPICE' VERSION='H-2013.03-SP1 32-BIT'
$OPTION MEASFORM=3
.TITLE ' '
index,nmos@var,pmos@varp,tphl,tplh,iint,temper,alter#
1,   0.5166,  -0.4341, 9.749e-12, 8.189e-12,-1.498e-15, -25.0000,7
2,   0.5064,  -0.4523, 9.518e-12, 8.576e-12,-1.506e-15, -25.0000,7
3,   0.4909,  -0.4618, 9.184e-12, 8.764e-12,-1.510e-15, -25.0000,7
4,   0.4882,  -0.4667, 9.128e-12, 8.866e-12,-1.513e-15, -25.0000,7
5,   0.5275,  -0.4342, 1.001e-11, 8.197e-12,-1.500e-15, -25.0000,7
6,   0.5305,  -0.4537, 1.008e-11, 8.630e-12,-1.510e-15, -25.0000,7
7,   0.5191,  -0.4656, 9.801e-12, 8.880e-12,-1.512e-15, -25.0000,7
8,   0.5116,  -0.4523, 9.633e-12, 8.581e-12,-1.506e-15, -25.0000,7
9,   0.4930,  -0.4596, 9.229e-12, 8.718e-12,-1.508e-15, -25.0000,7
10,   0.5138,  -0.4571, 9.682e-12, 8.687e-12,-1.508e-15, -25.0000,7
11,   0.5031,  -0.4144, 9.451e-12, 7.745e-12,-1.489e-15, -25.0000,7
12,   0.5083,  -0.4690, 9.557e-12, 8.944e-12,-1.513e-15, -25.0000,7
13,   0.5180,  -0.4331, 9.782e-12, 8.169e-12,-1.497e-15, -25.0000,7
14,   0.5025,  -0.4388, 9.436e-12, 8.279e-12,-1.500e-15, -25.0000,7
15,   0.5321,  -0.4537, 1.013e-11, 8.631e-12,-1.510e-15, -25.0000,7
16,   0.4758,  -0.4339, 8.888e-12, 8.153e-12,-1.499e-15, -25.0000,7
17,   0.5096,  -0.4574, 9.587e-12, 8.690e-12,-1.508e-15, -25.0000,7
18,   0.5046,  -0.4541, 9.478e-12, 8.613e-12,-1.507e-15, -25.0000,7
19,   0.5225,  -0.4463, 9.883e-12, 8.460e-12,-1.506e-15, -25.0000,7
20,   0.4715,  -0.4465, 8.803e-12, 8.415e-12,-1.504e-15, -25.0000,7
21,   0.5435,  -0.4475, 1.042e-11, 8.503e-12,-1.506e-15, -25.0000,7
22,   0.5043,  -0.4661, 9.468e-12, 8.874e-12,-1.512e-15, -25.0000,7
23,   0.5032,  -0.4370, 9.450e-12, 8.242e-12,-1.500e-15, -25.0000,7
24,   0.4905,  -0.4308, 9.182e-12, 8.098e-12,-1.498e-15, -25.0000,7
25,   0.5050,  -0.4777, 9.481e-12, 9.132e-12,-1.516e-15, -25.0000,7
26,   0.5018,  -0.4382, 9.421e-12, 8.267e-12,-1.500e-15, -25.0000,7
27,   0.4942,  -0.4576, 9.254e-12, 8.676e-12,-1.508e-15, -25.0000,7
28,   0.5054,  -0.4406, 9.497e-12, 8.321e-12,-1.501e-15, -25.0000,7
29,   0.4963,  -0.4560, 9.299e-12, 8.644e-12,-1.507e-15, -25.0000,7
30,   0.5357,  -0.4482, 1.022e-11, 8.513e-12,-1.507e-15, -25.0000,7
31,   0.5364,  -0.4471, 1.024e-11, 8.489e-12,-1.507e-15, -25.0000,7
32,   0.4932,  -0.4503, 9.235e-12, 8.519e-12,-1.505e-15, -25.0000,7
33,   0.5352,  -0.4318, 1.020e-11, 8.148e-12,-1.499e-15, -25.0000,7
34,   0.4692,  -0.4308, 8.763e-12, 8.081e-12,-1.499e-15, -25.0000,7
35,   0.5275,  -0.4225, 1.001e-11, 7.938e-12,-1.493e-15, -25.0000,7
36,   0.4900,  -0.4729, 9.163e-12, 9.004e-12,-1.515e-15, -25.0000,7
37,   0.5196,  -0.4410, 9.817e-12, 8.377e-12,-1.513e-15, -25.0000,7
38,   0.5433,  -0.4507, 1.042e-11, 8.575e-12,-1.508e-15, -25.0000,7
39,   0.5208,  -0.4520, 9.844e-12, 8.582e-12,-1.508e-15, -25.0000,7
40,   0.5015,  -0.4468, 9.412e-12, 8.452e-12,-1.504e-15, -25.0000,7
41,   0.4950,  -0.4663, 9.270e-12, 8.866e-12,-1.511e-15, -25.0000,7
42,   0.5073,  -0.4680, 9.533e-12, 8.920e-12,-1.513e-15, -25.0000,7
43,   0.5021,  -0.4611, 9.421e-12, 8.763e-12,-1.510e-15, -25.0000,7
44,   0.5251,  -0.4659, 9.946e-12, 8.894e-12,-1.515e-15, -25.0000,7
45,   0.5121,  -0.4472, 9.645e-12, 8.471e-12,-1.504e-15, -25.0000,7
