$DATA1 SOURCE='HSPICE' VERSION='H-2013.03-SP1 32-BIT'
$OPTION MEASFORM=3
.TITLE '*inversor'
index,nmos@var,pmos@varp,tphl,tplh,iint,temper,alter#
1,   0.5166,  -0.4341, 1.228e-11, 1.774e-11,-2.710e-15, 100.0000,1
2,   0.5064,  -0.4523, 1.191e-11, 1.964e-11,-2.751e-15, 100.0000,1
3,   0.4909,  -0.4618, 1.137e-11, 2.017e-11,-3.072e-15, 100.0000,1
4,   0.4882,  -0.4667, 1.127e-11, 2.044e-11,-3.119e-15, 100.0000,1
5,   0.5275,  -0.4342, 1.266e-11, 1.868e-11,-2.558e-15, 100.0000,1
6,   0.5305,  -0.4537, 1.276e-11, 1.981e-11,-2.308e-15, 100.0000,1
7,   0.5191,  -0.4656, 1.235e-11, 2.039e-11,-2.398e-15, 100.0000,1
8,   0.5116,  -0.4523, 1.210e-11, 1.970e-11,-2.640e-15, 100.0000,1
9,   0.4930,  -0.4596, 1.144e-11, 2.006e-11,-3.027e-15, 100.0000,1
10,   0.5138,  -0.4571, 1.217e-11, 1.992e-11,-2.557e-15, 100.0000,1
11,   0.5031,  -0.4144, 1.181e-11, 1.666e-11,-3.295e-15, 100.0000,1
12,   0.5083,  -0.4690, 1.197e-11, 2.029e-11,-2.552e-15, 100.0000,1
13,   0.5180,  -0.4331, 1.233e-11, 1.774e-11,-2.696e-15, 100.0000,1
14,   0.5025,  -0.4388, 1.178e-11, 1.893e-11,-2.977e-15, 100.0000,1
15,   0.5321,  -0.4537, 1.282e-11, 1.982e-11,-2.285e-15, 100.0000,1
16,   0.4758,  -0.4339, 1.086e-11, 1.813e-11,-3.819e-15, 100.0000,1
17,   0.5096,  -0.4574, 1.202e-11, 1.994e-11,-2.638e-15, 100.0000,1
18,   0.5046,  -0.4541, 1.185e-11, 1.978e-11,-2.775e-15, 100.0000,1
19,   0.5225,  -0.4463, 1.248e-11, 1.861e-11,-2.463e-15, 100.0000,1
20,   0.4715,  -0.4465, 1.070e-11, 1.900e-11,-3.849e-15, 100.0000,1
21,   0.5435,  -0.4475, 1.322e-11, 1.862e-11,-2.168e-15, 100.0000,1
