$DATA1 SOURCE='HSPICE' VERSION='H-2013.03-SP1 32-BIT'
$OPTION MEASFORM=3
.TITLE '*inversor'
index,nmos@var,pmos@varp,tphl,tplh,iint,temper,alter#
1,   0.5166,  -0.4341, 7.704e-12, 1.034e-11,-1.703e-15,  25.0000,10
2,   0.5064,  -0.4523, 7.437e-12, 1.105e-11,-1.732e-15,  25.0000,10
3,   0.4909,  -0.4618, 7.042e-12, 1.149e-11,-1.901e-15,  25.0000,10
4,   0.4882,  -0.4667, 6.986e-12, 1.188e-11,-1.946e-15,  25.0000,10
5,   0.5275,  -0.4342, 8.003e-12, 1.034e-11,-1.623e-15,  25.0000,10
6,   0.5305,  -0.4537, 8.086e-12, 1.140e-11,-1.541e-15,  25.0000,10
7,   0.5191,  -0.4656, 7.772e-12, 1.173e-11,-1.580e-15,  25.0000,10
8,   0.5116,  -0.4523, 7.572e-12, 1.105e-11,-1.681e-15,  25.0000,10
9,   0.4930,  -0.4596, 7.096e-12, 1.137e-11,-1.875e-15,  25.0000,10
10,   0.5138,  -0.4571, 7.630e-12, 1.124e-11,-1.643e-15,  25.0000,10
11,   0.5031,  -0.4144, 7.352e-12, 9.606e-12,-1.956e-15,  25.0000,10
12,   0.5083,  -0.4690, 7.486e-12, 1.193e-11,-1.669e-15,  25.0000,10
13,   0.5180,  -0.4331, 7.744e-12, 1.030e-11,-1.695e-15,  25.0000,10
14,   0.5025,  -0.4388, 7.338e-12, 1.052e-11,-1.822e-15,  25.0000,10
15,   0.5321,  -0.4537, 8.134e-12, 1.124e-11,-1.548e-15,  25.0000,10
16,   0.4758,  -0.4339, 6.736e-12, 1.034e-11,-2.267e-15,  25.0000,10
17,   0.5096,  -0.4574, 7.520e-12, 1.125e-11,-1.682e-15,  25.0000,10
18,   0.5046,  -0.4541, 7.391e-12, 1.112e-11,-1.751e-15,  25.0000,10
19,   0.5225,  -0.4463, 7.864e-12, 1.081e-11,-1.610e-15,  25.0000,10
20,   0.4715,  -0.4465, 6.652e-12, 1.082e-11,-2.311e-15,  25.0000,10
21,   0.5435,  -0.4475, 8.466e-12, 1.102e-11,-1.511e-15,  25.0000,10
22,   0.5043,  -0.4661, 7.381e-12, 1.175e-11,-1.717e-15,  25.0000,10
23,   0.5032,  -0.4370, 7.354e-12, 1.045e-11,-1.821e-15,  25.0000,10
24,   0.4905,  -0.4308, 7.034e-12, 1.043e-11,-2.072e-15,  25.0000,10
25,   0.5050,  -0.4777, 7.400e-12, 1.244e-11,-1.689e-15,  25.0000,10
26,   0.5018,  -0.4382, 7.320e-12, 1.050e-11,-1.832e-15,  25.0000,10
27,   0.4942,  -0.4576, 7.126e-12, 1.136e-11,-1.890e-15,  25.0000,10
28,   0.5054,  -0.4406, 7.410e-12, 1.059e-11,-1.783e-15,  25.0000,10
29,   0.4963,  -0.4560, 7.180e-12, 1.119e-11,-1.849e-15,  25.0000,10
30,   0.5357,  -0.4482, 8.234e-12, 1.088e-11,-1.520e-15,  25.0000,10
31,   0.5364,  -0.4471, 8.257e-12, 1.109e-11,-1.526e-15,  25.0000,10
32,   0.4932,  -0.4503, 7.102e-12, 1.097e-11,-1.903e-15,  25.0000,10
33,   0.5352,  -0.4318, 8.221e-12, 1.021e-11,-1.591e-15,  25.0000,10
34,   0.4692,  -0.4308, 6.607e-12, 1.022e-11,-2.430e-15,  25.0000,10
35,   0.5275,  -0.4225, 8.004e-12, 9.881e-12,-1.687e-15,  25.0000,10
36,   0.4900,  -0.4729, 7.023e-12, 1.204e-11,-1.904e-15,  25.0000,10
37,   0.5196,  -0.4410, 7.785e-12, 1.060e-11,-1.650e-15,  25.0000,10
38,   0.5433,  -0.4507, 8.458e-12, 1.146e-11,-1.520e-15,  25.0000,10
39,   0.5208,  -0.4520, 7.819e-12, 1.103e-11,-1.605e-15,  25.0000,10
40,   0.5015,  -0.4468, 7.312e-12, 1.082e-11,-1.805e-15,  25.0000,10
41,   0.4950,  -0.4663, 7.147e-12, 1.178e-11,-1.832e-15,  25.0000,10
42,   0.5073,  -0.4680, 7.459e-12, 1.186e-11,-1.681e-15,  25.0000,10
43,   0.5021,  -0.4611, 7.325e-12, 1.146e-11,-1.753e-15,  25.0000,10
44,   0.5251,  -0.4659, 7.936e-12, 1.198e-11,-1.546e-15,  25.0000,10
45,   0.5121,  -0.4472, 7.585e-12, 1.085e-11,-1.693e-15,  25.0000,10
46,   0.5024,  -0.4258, 7.334e-12, 1.001e-11,-1.890e-15,  25.0000,10
47,   0.5191,  -0.4546, 7.773e-12, 1.114e-11,-1.615e-15,  25.0000,10
48,   0.4986,  -0.4824, 7.235e-12, 1.272e-11,-1.760e-15,  25.0000,10
49,   0.4881,  -0.4472, 6.984e-12, 1.104e-11,-1.997e-15,  25.0000,10
50,   0.5102,  -0.4477, 7.536e-12, 1.086e-11,-1.708e-15,  25.0000,10
51,   0.5174,  -0.4808, 7.727e-12, 1.264e-11,-1.568e-15,  25.0000,10
52,   0.5139,  -0.4533, 7.633e-12, 1.109e-11,-1.662e-15,  25.0000,10
53,   0.5189,  -0.4498, 7.766e-12, 1.095e-11,-1.626e-15,  25.0000,10
54,   0.5047,  -0.4691, 7.393e-12, 1.193e-11,-1.706e-15,  25.0000,10
55,   0.5067,  -0.4545, 7.444e-12, 1.114e-11,-1.728e-15,  25.0000,10
56,   0.5256,  -0.4173, 7.949e-12, 1.001e-11,-1.791e-15,  25.0000,10
57,   0.5038,  -0.4695, 7.369e-12, 1.195e-11,-1.716e-15,  25.0000,10
58,   0.4947,  -0.4900, 7.138e-12, 1.310e-11,-1.807e-15,  25.0000,10
59,   0.5097,  -0.4458, 7.523e-12, 1.079e-11,-1.720e-15,  25.0000,10
60,   0.5117,  -0.4566, 7.576e-12, 1.122e-11,-1.673e-15,  25.0000,10
61,   0.5146,  -0.4502, 7.652e-12, 1.096e-11,-1.661e-15,  25.0000,10
62,   0.5201,  -0.4547, 7.799e-12, 1.114e-11,-1.607e-15,  25.0000,10
63,   0.5188,  -0.4490, 7.765e-12, 1.092e-11,-1.629e-15,  25.0000,10
64,   0.5161,  -0.4370, 7.690e-12, 1.045e-11,-1.695e-15,  25.0000,10
65,   0.4963,  -0.4647, 7.179e-12, 1.166e-11,-1.819e-15,  25.0000,10
66,   0.5442,  -0.4338, 8.487e-12, 1.029e-11,-1.537e-15,  25.0000,10
67,   0.4957,  -0.4533, 7.163e-12, 1.108e-11,-1.865e-15,  25.0000,10
68,   0.5173,  -0.4497, 7.724e-12, 1.095e-11,-1.639e-15,  25.0000,10
69,   0.4976,  -0.4633, 7.212e-12, 1.158e-11,-1.804e-15,  25.0000,10
70,   0.5401,  -0.4655, 8.366e-12, 1.173e-11,-1.448e-15,  25.0000,10
71,   0.5064,  -0.4686, 7.436e-12, 1.190e-11,-1.689e-15,  25.0000,10
72,   0.5096,  -0.4422, 7.520e-12, 1.065e-11,-1.733e-15,  25.0000,10
73,   0.5149,  -0.4554, 7.660e-12, 1.117e-11,-1.647e-15,  25.0000,10
